biomarkers,E-GSM1031158,E-GSM1031159,E-GSM1031160,E-GSM1031161,E-GSM1031162,E-GSM1031167,IPS-GSM1031146,IPS-GSM1031147,IPS-GSM1031148,IPS-GSM1031176,IPS-GSM1031177
cg00055233,0.3722826,0.1940585,0.7632062,0.6768261,0.6886855,0.7617931,0.2414915,0.3108113,0.3130811,0.2228015,0.2530215
cg00056767,0.01742902,0.02596347,0.0234095,0.04310507,0.02717287,0.02683014,0.05048916,0.0413314,0.05175251,0.03080623,0.02641086
cg00057593,0.4929776,0.6580608,0.6371837,0.6958882,0.6635365,0.5842669,0.7079934,0.6560454,0.6925865,0.6641103,0.6611489
cg00058938,0.6948801,0.4581774,0.526163,0.5799397,0.5020064,0.4829389,0.5286517,0.3887947,0.5004752,0.4502893,0.4756015
cg00059225,0.0630198,0.05140163,0.03747373,0.04672295,0.03414585,0.03332626,0.05829056,0.07787588,0.05541565,0.08114305,0.05868043
cg00059424,0,0.0157521,0.02359371,0.01192321,0.007818418,0.01812686,0.01295908,0.007096332,0.01300885,0.01031161,0
cg00059740,0.003872338,0.008297906,0.000959977,0.01170044,0.0132201,0,0.002767422,0.007835653,0.009355499,0.01030977,0
cg00059930,0.9537733,0.91556,0.902703,0.9045756,0.9542069,0.9322976,0.9042184,0.9184632,0.9210811,0.8603657,0.8844376
cg00060762,0.01511137,0.02931045,0.03815485,0,0.000428588,0,0.0116314,0.01078742,0.01362273,0.01390029,0.000630355
cg00060882,0.2721893,0.05308314,0.1346751,0.1339801,0.1359426,0.1285976,0.08879473,0.08978539,0.06145031,0.08762498,0.04251219
cg00061059,0.01118811,0.09207619,0.03307816,0.05064771,0.08384433,0,0.01955706,0.01442601,0.01509917,0,0.00277712
cg00061629,0.07775105,0.1599052,0.08528828,0.05084055,0.3198051,0.02364292,0.0326762,0.4852891,0.05547843,0.04089719,0.006607498
cg00062776,0.9568625,0.9311303,0.9733094,0.9737484,0.948143,0.9612023,0.9572465,0.9676839,0.9658562,0.9530656,0.9291937
cg00063144,0.785239,0.7290274,0.747871,0.7689488,0.8473184,0.7474046,0.8293254,0.8492622,0.8270925,0.8072839,0.8069885
cg00065385,0.801818,0.6091542,0.74183,0.8138597,0.8543434,0.8276471,0.900393,0.9159309,0.9010786,0.8737545,0.8318299
cg00065408,0.01155546,0.01628187,0.01080868,0.01930185,0.01632494,0.007292633,0.02520694,0.03398805,0.03412042,0.02717277,0.03014895
cg00066153,0.8178594,0.8258169,0.8347191,0.8692352,0.9190913,0.8855377,0.8886071,0.8974257,0.8999231,0.8766907,0.8904729
cg00066816,0.3558432,0.1574603,0.2106314,0.2612148,0.1415977,0.2179447,0.2312677,0.3091544,0.2520883,0.1839502,0.2007935
cg00067471,0.4112839,0.3631018,0.3837956,0.4681708,0.4097584,0.3322609,0.3288445,0.399051,0.3776267,0.2734461,0.3147127
cg00069261,0.0354705,0.01720245,0.01291156,0.02236603,0.0521075,0.009776733,0.03061805,0.02438563,0.02473561,0.009304928,0
cg00071250,0.7267736,0.6462903,0.7615292,0.7346343,0.7252157,0.7317927,0.706022,0.7659265,0.7957454,0.6926345,0.7061166
cg00071998,0.2235579,0.1066367,0.0582086,0.2989147,0.115264,0.08834251,0.2941781,0.2500956,0.2882825,0.1054494,0.1250878
cg00072216,0,0.01693686,0,0.003619452,0,0,0.006752214,0.005509553,0.02300805,0.007455484,0
cg00073650,0.7665348,0.6862268,0.7732638,0.7548572,0.8048393,0.7421606,0.7157495,0.7014694,0.7472603,0.686518,0.6756596
cg00075967,0.03147386,0,0,0.007950278,0.04355258,0,0.000139,0.06393804,0,0,0
cg00076645,0,0.003138517,0,0.006574853,0.000521604,0,0,0.00080686,0.003258676,0,0
cg00077457,0.5933799,0.4415345,0.7136502,0.6810302,0.8170794,0.6550187,0.7097636,0.7225989,0.687939,0.6210831,0.6123824
cg00077877,0.5143745,0.4718798,0.4501829,0.4896514,0.5419656,0.517631,0.6923851,0.4777727,0.7291197,0.6000865,0.6184118
cg00078194,0,0.008070322,0.02295008,5.85E-05,0,0,0,0,0,0,0
cg00078867,0.7165713,0.8158686,0.7157308,0.8330922,0.8767244,0.811663,0.7693051,0.7664293,0.7750829,0.7059943,0.7242594
cg00079056,0.8173631,0.7719601,0.7811821,0.818598,0.8747146,0.7855684,0.8106986,0.8101804,0.8616993,0.8005698,0.7703999
cg00079563,0.05334875,0,0,0.03225687,0.02249643,0.007053097,0.01122625,0.004549189,0.01570913,0,0.002633699
cg00080012,0.004870174,0,0,0.01151766,0.00119028,0,0.001691951,0.005231604,0.002616812,0.002096714,0
cg00081935,0,0.07149773,0.01064128,0.0726684,0.02359017,0.02554693,0.07655001,0.04665133,0.06982569,0.0704359,0.06045393
cg00081975,0.006739763,0.01028053,0.01098278,0,0.006678228,0.006907967,0.01389408,0.01650215,0.02685252,0.04028615,0.01845951
cg00083720,0.000304201,0.01625541,0,0.0229596,0.001967039,0,0,0.002853866,0.000576316,0,0
cg00083937,0.1606003,0.1521497,0.1901922,0.2064345,0.04776542,0.2017531,0.3121939,0.2948251,0.2900507,0.2047469,0.203927
cg00084687,0.003706174,0,0.01189609,0.003776636,0.00311583,0.005334288,0.007620566,0.009549019,0.005664328,0.01007131,0.009151472
cg00089071,0.01153858,0,0,0,0.000214034,0,0,0,0.000341266,0.000447376,0
cg00090147,0.04956903,0.03645648,0.03964734,0.06205202,0.03717794,0.03087759,0.05367744,0.06268335,0.06331301,0.05172007,0.03420805
cg00091693,0.4861585,0.6276457,0.6934785,0.6741995,0.792196,0.7071976,0.7020981,0.7768019,0.7295563,0.6255307,0.6137906
cg00093177,0.7429866,0.720928,0.7978202,0.8218424,0.8776906,0.8241516,0.7903688,0.8200707,0.8147995,0.7695516,0.7828455
cg00094319,0.8030966,0.7735281,0.8411337,0.8518727,0.8259913,0.8658957,0.5999417,0.6631724,0.5827658,0.7276484,0.7702133
cg00094851,0.07254659,0.0713973,0.06624765,0.07065032,0.06374323,0.0624733,0.08815813,0.08376307,0.08335599,0.1056738,0.09005892
cg00095526,0.4215337,0.6168589,0.5644103,0.7029843,0.1303613,0.6564645,0.6984045,0.4967364,0.6596755,0.6833712,0.585756
cg00095674,0.01447823,0.03496554,0.04534206,0.03870954,0.08085793,0.0125238,0.03244673,0.0337204,0.02194891,0.0345667,0.02566251
cg00096922,0,0,0,0,0.000616655,0.006205879,0,0,0,0,0
cg00097536,0,0.02219519,0.02251398,0.02963052,0.01221246,0.007323168,0.01333338,0.01794614,0.01258943,0.01370353,0.01782602
cg00098162,0.7672589,0.5844361,0.7544756,0.7586813,0.7303328,0.7564091,0.7694964,0.8408774,0.8049438,0.6757705,0.6963961
cg00098239,0,0.01130234,0.02133466,0.03533543,0.008264747,0,0.005901962,0.002116852,0.001283217,0.003829505,0.003587049
cg00099550,0.01357261,0.004285879,0.01353476,0.01011022,0.01521695,0.005997251,0.01525027,0.01579258,0.01942515,0.01810022,0.01729208
cg00101227,0.8325512,0.6402674,0.7695238,0.7926576,0.7982703,0.7811574,0.8179105,0.8061087,0.8304368,0.751286,0.7884733
cg00103783,0.02169118,0.1680478,0.02473743,0.03726821,0.02705928,0,0.0231243,0.01784963,0.02824538,0.01329235,0.007229554
cg00105253,0.05380004,0.06711178,0.06363164,0.06897475,0.03541755,0.05126286,0.04327792,0.04981716,0.03589231,0.05914755,0.05914361
cg00105470,0.03767815,0.05476322,0.02700402,0.05528837,0.01994726,0,0.01784806,0.0209498,0.01457949,0.0271651,0.02131437
cg00107187,0.05192871,0.1214968,0.08231706,0.1021029,0.04833551,0.09522714,0.1495744,0.127009,0.1505686,0.1577214,0.09432647
cg00107488,0.398055,0.6738206,0.5643976,0.6259069,0.3254829,0.6488754,0.6268995,0.5084057,0.6929335,0.524776,0.3899925
cg00107632,0.013037,0.01746235,0.007358082,0.01175809,0.00894959,0.007925246,0.009257478,0.01448392,0.01085792,0.01339652,0.006998641
cg00108454,0.5249959,0.6034654,0.5795374,0.6666321,0.6612566,0.6146358,0.5876561,0.5906659,0.618941,0.590534,0.5652306
cg00109274,0.007487317,0.01011408,0.009433645,0.027067,0.01189737,0.015525,0.02752904,0.03848454,0.02799813,0.012027,0.02906104
cg00112517,0.01304185,0.02647078,0.02047513,0.01579203,0.0232156,0.02882882,0.02479988,0.03480684,0.01880193,0.03471986,0.03249066
cg00113020,0.7545602,0.6366168,0.753564,0.8550975,0.7550956,0.7979714,0.8575065,0.919628,0.8971442,0.8179226,0.8663603
cg00113951,0.1254469,0.1350789,0.1579942,0.1698339,0.1261042,0.1632239,0.1371207,0.1315775,0.1645444,0.1251367,0.08589014
cg00115714,0,0.02909986,0.02630372,0.01972284,0.1426167,0.03141389,0.1127446,0.1456321,0.1313736,0.1433135,0.171869
cg00116234,0,0.1544443,0.06798492,0.07700878,0.0330919,0,0.03880133,0.04568201,0.05543704,0.04109644,0.04492805
cg00116838,0.03229279,0,0.03278825,0.008351808,0.02359402,0.01417155,0.01929059,0.03030271,0.02319467,0.007873575,0.02150443
cg00117172,0.01926116,0.01981761,0.007534917,0.01018974,0.01417527,0.00287845,0.01557339,0.02602261,0.01798304,0.02515403,0.0129835
cg00119079,0.004830203,0.05760395,0.01563485,0.07538391,0.01321707,0.01521612,0.03869935,0.03703175,0.0463401,0.02190622,0.004289764
cg00121158,0.007336963,0.01013771,0.000736458,0.009986242,0.01041115,0.006730036,0.01309462,0.01378803,0.01303236,0.007763467,0.008796197
cg00121640,0.04477451,0.04607411,0.06048655,0.06078577,0.05917065,0.05572563,0.06163067,0.07377952,0.06497016,0.09419556,0.08009034
cg00121904,0.458393,0.06994098,0.4335244,0.5462177,0.04473512,0.4928357,0.310683,0.3953083,0.2885467,0.4511593,0.4571815
cg00123035,0.04705992,0.05844036,0.002746601,0.03772021,0.005932289,0,0.02134522,0.01888159,0.02514445,0.01301043,0.03811645
cg00126034,0.01019665,0.01815968,0.02979141,0,0.005526248,0.02319687,0.005449749,0.0033478,0.001615931,0.00399969,0.001258726
cg00126657,0.3292493,0.6481728,0.6023852,0.6887608,0.6880214,0.5757627,0.6125227,0.4967444,0.663196,0.4983363,0.4948254
cg00126698,0.5184441,0.7116115,0.6727858,0.8426144,0.8566803,0.7061588,0.6608948,0.7198793,0.5981331,0.7845961,0.8490157
cg00128197,0.1650319,0,0.3610829,0.03499785,0.02445516,0.3404085,0.3171278,0.2665451,0.3234408,0.4080946,0.3514392
cg00128560,0.7198884,0.6420477,0.7801145,0.7509316,0.8546104,0.7786211,0.8907275,0.8859422,0.8753332,0.8110565,0.7617087
cg00128654,0,0,0.000380508,0.02294715,0.005505123,0,0,0,0,0.000322543,0
cg00128766,0,0.1576711,0.02018582,0.2056954,0.0602822,0,0.08687788,0.04869056,0.07943283,0.05870561,0.03239519
cg00128877,0.04790506,0.08249673,0.09719826,0.06031945,0.07169975,0.0677217,0.06892024,0.07008255,0.07423905,0.07545567,0.06602776
cg00129774,0.02197939,0.01617548,0.05331342,0.01982201,0.03867044,0.03214976,0.03718912,0.03072853,0.03250235,0.02527889,0.02139172
cg00131121,0.03532072,0.04845256,0.06120002,0.05127495,0.0276949,0.0412359,0.03312762,0.03533275,0.02819358,0.03207432,0.03458087
cg00131557,0.7398716,0.6678364,0.7854156,0.7867233,0.8281662,0.8649828,0.9024894,0.9141402,0.9010061,0.8364991,0.8898897
cg00132141,0.4930232,0.3894812,0.4220591,0.5757791,0.719825,0.6741721,0.7070517,0.6955948,0.7408944,0.5511609,0.5901479
cg00133909,0.01657814,0.04030946,0.02802307,0.03185513,0.02142598,0.004289928,0.02020421,0.02668068,0.01652646,0.04302153,0.02423713
cg00134539,0.8195661,0.6993594,0.7718057,0.811893,0.7267342,0.8335958,0.8859975,0.8883059,0.9186866,0.7674425,0.7622194
cg00134787,0.7200952,0.6095504,0.7328554,0.7565008,0.7725044,0.7758765,0.8671154,0.8809027,0.8821906,0.7797755,0.7793871
cg00135056,0.09788006,0.1561309,0.1268479,0.1323341,0.09957228,0.1295726,0.1916503,0.1683045,0.208809,0.1265928,0.1105011
cg00135393,0.4326455,0.534048,0.3731703,0.4390872,0.3953373,0.3474016,0.5155406,0.4585637,0.5935617,0.3401188,0.4596501
cg00136105,0,0,0.01089301,0.01593531,0,0,0.000279636,0.006326362,0.004616469,0,0
cg00136405,0.07821229,0.4607856,0.6704266,0.5822163,0.699139,0.4698785,0.7191268,0.7337168,0.777512,0.5666121,0.392933
cg00136477,0.806419,0.8162161,0.7977439,0.8606659,0.7300481,0.8247865,0.8222797,0.732456,0.8139697,0.7477362,0.7574062
cg00136736,0.002734677,0.02729969,0.03529713,0.04371551,0.04987094,0.00273135,0,0.007144968,0.004262927,0.008036034,0
cg00138126,0.3765144,0.6232176,0.5610991,0.6342089,0.04333503,0.5297868,0.6401947,0.5890403,0.6297593,0.3496611,0.2689792
cg00141162,0.8046716,0.7172161,0.8310154,0.8423401,0.8571704,0.8656041,0.8160366,0.6109613,0.8333123,0.6796936,0.6160487
cg00141550,0.5760738,0.6140013,0.6215579,0.6757293,0.791096,0.5414417,0.8108248,0.6971444,0.7777131,0.7275345,0.7362372
cg00141845,0.2798774,0.3448339,0.3818357,0.4935364,0.589305,0.4767897,0.6342017,0.6808305,0.5902247,0.520466,0.4956257
cg00143376,0.6454362,0.4332925,0.5445407,0.4752249,0.6455107,0.6062266,0.5675462,0.5942038,0.5412903,0.4425654,0.4787878
cg00143998,0,0.1145529,0.04579075,0.01244339,0,0,0,0.007864716,0.009311239,0,0
cg00145118,0.6493301,0.6750451,0.6716887,0.6946881,0.5464119,0.6649501,0.722562,0.6336599,0.7129635,0.5989109,0.6260133
cg00145348,0.5561509,0.02199692,0.4716792,0.02512442,0.02711417,0.422806,0.3720427,0.4542201,0.4550554,0.4564982,0.4377086
cg00146096,0,0.02234237,0,0.008295691,0.007340206,0,0.000358373,0.005730193,0.002708297,0,0
cg00149659,0,0,0,0.000246598,0.00300076,0,0,0,0,0,0
cg00149976,0.009165701,0.0128459,0.01770587,0.02041021,0.01578549,0.01019252,0.02680484,0.03052228,0.02558206,0.01238722,0.01548511
cg00151234,0.402901,0,0.4410994,0.02926231,0.01765912,0.4179115,0.3143218,0.3745516,0.3756793,0.43297,0.4300299
cg00151607,0.01769377,0.008167844,0.01570629,0.0123128,0.01857852,0.002024731,0.03114481,0.01519486,0.01829364,0.0120632,0.01390173
cg00152644,0.7614521,0.754391,0.838905,0.8215089,0.5704319,0.838448,0.9257926,0.903443,0.9253209,0.8378525,0.8590746
cg00155167,0,0.04390703,0,0,0.00674991,0,0,0.003558331,0,0,0
cg00155485,0,0,0,0,0.008265013,0,0,0,0,0,0
cg00155609,0,0.003407172,0.005356526,0.02309535,0.008124659,0.01238819,0.01988499,0.02136186,0.02683653,0.01767094,0.01516834
cg00156216,0,0.0169203,0,0.007529912,0.009559352,0.000765485,0,0,0,0,0
cg00156744,0,0.04480461,0.01580854,0.008472342,0.01048404,0.02523325,0.02114894,0.0137319,0.02655353,0.02895355,0.005567849
cg00158308,0.2493702,0.06768654,0.1171064,0.06599866,0.5393902,0.1595327,0.1565237,0.1439327,0.1645953,0.07563229,0.1052983
cg00160914,0.06049267,0.09548773,0.1526556,0.1102315,0.07850529,0.1408436,0.09284297,0.05442821,0.08399919,0.07373818,0.05951241
cg00162401,0.03476606,0.009012788,0.01809706,0.008908647,0.02902385,0,0.02010592,0.01911016,0.02363552,0.0181744,0.0107223
cg00162643,0,0.01353157,0,0.0155329,0.008257165,0.008638833,0.003993141,0.00751025,0.002325356,0.00322702,0
cg00164041,0.02922485,0.01485221,0.02405374,0.01263618,0.06361681,0,0.007990588,0.008548757,0.0101325,0.01500756,0.01061128
cg00164898,0.03089083,0.1093047,0.0977926,0.1611856,0.05824148,0.111696,0.1403264,0.1245712,0.1750264,0.08258329,0.06057972
cg00165981,0,0.06463823,0.02923204,0.05410602,0.008647813,0.01210432,0,0.004704709,0.004833553,0,0
cg00167504,0.02298453,0.03324716,0.02983258,0.03436621,0.02977822,0.02114278,0.02995549,0.03405309,0.04882148,0.03279785,0.02268828
cg00168082,0.05582653,0.04473166,0.006909085,0.00960334,0.03451689,0.009626725,0.0184402,0.01579752,0.02711384,0.02033987,0
cg00168785,0,0.05177408,0.02321861,0.0911046,0.02371877,0.01399413,0.06873842,0.05233254,0.06181993,0.03249017,0.007683306
cg00168942,0.7500255,0.7429599,0.6953568,0.7687922,0.8016826,0.8020605,0.7636403,0.7787778,0.7337422,0.7016702,0.6393725
cg00169548,0.4164223,0.09331068,0.4230539,0.3897033,0.4232907,0.5149743,0.5167163,0.443686,0.5025722,0.2380996,0.2115784
cg00171126,0.01737353,0.1027344,0,0,0.02798926,0.007566527,0.01216216,0.01329863,0.005128128,0,0
cg00171161,0.08972358,0.1015818,0.06805196,0.06090473,0.07537774,0.06143469,0.05381329,0.05067168,0.06346928,0.03988364,0.03947788
cg00174500,0.2411989,0.6602325,0.722729,0.7883723,0.1106182,0.7395592,0.6898482,0.5662205,0.680617,0.6012941,0.5352899
cg00174901,0.4720452,0.244351,0.42057,0.2135536,0.09482214,0.4033366,0.3921254,0.3344691,0.381103,0.2045724,0.2683202
cg00176210,0.9158108,0.5002816,0.7308154,0.5356383,0.4374649,0.7442833,0.5658005,0.6287022,0.5298093,0.4714338,0.5102371
cg00176879,0.9853659,0.9546049,0.9156998,0.9333204,0.9619314,0.9417988,0.92787,0.9472923,0.9208306,0.8812146,0.9094386
cg00177013,0.04130944,0.08012321,0.06501509,0.05291808,0.05082622,0.03246157,0.07476257,0.07628845,0.07232909,0.08025922,0.08390624
cg00177698,0.04167533,0.4430417,0.06235757,0.4803953,0.6079653,0.07025485,0.2767529,0.26006,0.4101669,0.4281478,0.4495239
cg00177923,0.002395408,0.01100256,0,0,0,0,0.007087892,0.002322456,0.006448483,0,0
cg00178790,0.01475884,0.02940298,0.02461518,0.01895042,0.03072483,0.02070785,0.02069777,0.02397711,0.02575714,0.0299357,0.01872632
cg00179446,0.3639821,0.1333713,0.378737,0.1103034,0.01499134,0.435738,0.3843656,0.4179251,0.3776964,0.4490275,0.4091511
cg00180012,0.04326835,0.0640265,0.04884207,0.05716927,0.04758338,0.03840063,0.03251247,0.02304428,0.04014643,0.01296292,0.003823195
cg00180631,0.7419649,0.1719222,0.4540336,0.1762848,0.1327452,0.536747,0.4058754,0.3811576,0.435142,0.4993348,0.4788246
cg00182461,0.06823473,0.1253878,0.01456919,0.0808254,0.09550245,0,0.04048271,0.03316141,0.05182369,0.02335172,0
cg00183782,0.03644159,0.1726575,0.6464067,0.5424578,0.6789341,0.6779158,0.6965817,0.7763684,0.7206696,0.6890721,0.6161118
cg00183916,0,0.01604154,0.01110143,0.002634909,0,0,0.003777983,0.01825344,0.01384675,0.00247933,0.01097384
cg00184884,0.003466205,0.01478001,0.002468808,0.0141662,0.02365394,0.01230771,0.01082688,0.008649608,0.01091537,0.008874094,0.008729959
cg00184893,0,0.02375843,0.0006192,0.01633872,0.01159208,0.01117725,0,0.003714413,0.004603681,0.006253715,0
cg00185103,0.7216638,0.5009653,0.6256556,0.6011112,0.746934,0.7128641,0.7699395,0.7921559,0.7827817,0.688061,0.6368429
cg00185839,0.02348508,0.2404835,0.1147828,0.1423946,0.05019801,0.1294777,0.1715088,0.1492187,0.2575225,0.09982126,0.07427584
cg00186141,0.002362391,0.01077463,0.005585467,0.0144473,0,0.00586512,0.004090296,0.003158942,0.001138256,0.001304297,0
cg00186701,0.7321478,0.7054896,0.8531225,0.9049978,0.8244342,0.8894432,0.498045,0.5752431,0.5266136,0.4651356,0.5324611
