,biomarkers,EGSM1031158,EGSM1031159,EGSM1031160,EGSM1031161,EGSM1031162,EGSM1031167,IPS-GSM1031146,IPS-GSM1031147,IPS-GSM1031148,IPS-GSM1031176,IPS-GSM1031177
16,cg00014837,0.7047396,0.6134778000000001,0.8011871,0.8043243,0.8731485000000001,0.7641235,0.8059826999999999,0.8464783000000001,0.8235415,0.7681944,0.8163128000000001
17,cg00015770,0.05856347,0.06592839,0.06333634,0.5345753000000001,0.10973859999999999,0.04503352,0.07645037,0.08252131,0.1005534,0.04570861,0.04209402
18,cg00016968,0.31150900000000004,0.2597968,0.31271129999999997,0.2727969,0.22121010000000002,0.32924549999999997,0.332857,0.33507220000000004,0.3930255,0.22613760000000002,0.2434547
19,cg00019495,0.44292829999999994,0.470316,0.594073,0.5776631999999999,0.09922624,0.6142304,0.4932312,0.4395486,0.43739079999999997,0.512216,0.3577281
20,cg00020533,0.8041994,0.8345355,0.8454654,0.7920819,0.8328287,0.8546806,0.8530763000000001,0.8966383,0.8223877,0.8116475000000001,0.8096445
21,cg00021527,0.01811923,0.01990296,0.02650134,0.02937665,0.01006481,0.01242654,0.01008477,0.010748899999999999,0.01246199,0.02690342,0.01870759
22,cg00022606,0.0,0.02566458,0.02627526,0.03658876,0.01532692,0.02133594,0.04334985,0.04302824,0.05470559,0.02458123,0.02334874
23,cg00022866,0.29105529999999996,0.1952442,0.08849408,0.2167094,0.41770329999999994,0.09460726,0.49113599999999996,0.5265736,0.4650986,0.15476070000000003,0.2430736
24,cg00024396,0.034034800000000004,0.0,0.02121701,0.05903506,0.1113705,0.006788729,0.08359412,0.05215484,0.05088078,0.01100127,0.006150948000000001
25,cg00024812,0.03330982,0.03831096,0.01025499,0.0461693,0.05648987,0.0,0.003309867,0.01687596,0.01660143,0.01147749,0.009570287
26,cg00025138,0.0,0.0,0.0,0.02549555,0.02338597,0.0,0.0,0.005678272,0.0,0.0,0.0
27,cg00025991,0.628735,0.6759927,0.5843596999999999,0.5895929,0.6155208000000001,0.6372131,0.683371,0.6725211999999999,0.6618281,0.6554886,0.6415579
28,cg00027083,0.008568018,0.009836694,0.003257349,0.01364068,0.0,0.0,0.000751102,0.005673366,0.006003235,0.06008453,0.01973107
29,cg00027674,0.0,0.0,0.06580628,0.02837016,0.07668141,0.0,0.008484934,0.02526231,0.005652973,0.01522451,0.0
30,cg00029826,0.21510300000000002,0.10745439999999999,0.1101027,0.0,0.07163323,0.02025945,0.0,0.01980961,0.0,0.02671168,0.0
31,cg00029931,0.3127509,0.0,0.3931002,0.01652556,0.01284881,0.3715865,0.34343640000000003,0.3966035,0.3514218,0.3060845,0.3345256
32,cg00030047,0.7131399,0.35638000000000003,0.44190039999999997,0.4304385,0.3359674,0.5533308000000001,0.43941620000000003,0.4101652,0.45354970000000006,0.3293639,0.3463409
33,cg00031162,0.6158007,0.6751569000000001,0.7526754,0.7939668000000001,0.6883741,0.7501201999999999,0.8199198000000001,0.7609043000000001,0.8621118000000001,0.7867065,0.698276
34,cg00032227,0.0,0.0021749960000000002,0.01752706,0.02271918,0.003704957,0.0,0.01589419,0.0120279,0.007190223000000001,0.01351384,0.009271218000000001
35,cg00032666,0.5471951999999999,0.4546701,0.6316733,0.6413661,0.789668,0.7735291,0.6777882,0.6159943,0.7146508,0.6337144,0.5817022
36,cg00033516,0.02138122,0.02592877,0.05170865,0.05700177,0.02551788,0.03205141,0.02841745,0.03942114,0.03671077,0.05862985,0.05480693
37,cg00033773,0.9022505999999999,0.8668633,0.8986076999999999,0.9066443000000001,0.9146211,0.9139792999999999,0.9100540000000001,0.9110475,0.9206785,0.8701468000000001,0.8915815
38,cg00034039,0.02247136,0.02405944,0.03910194,0.03134763,0.03501551,0.02857134,0.04757617,0.04695248,0.04584345,0.04261406,0.04169597
39,cg00035347,0.5090797,0.3402889,0.5047252999999999,0.4508415,0.49991679999999994,0.5449008000000001,0.5750913000000001,0.528766,0.5931569,0.45531530000000003,0.5054252
40,cg00035623,0.16307639999999998,0.1374269,0.10745519999999999,0.14121329999999999,0.1276271,0.1303896,0.2338561,0.2169982,0.1824251,0.15451979999999998,0.2043684
41,cg00037763,0.8602139999999999,0.7932279999999999,0.7988114000000001,0.8403729999999999,0.7885035,0.7887829000000001,0.8678530000000001,0.8755901,0.860517,0.8219911,0.7857559000000001
42,cg00037940,0.7980608,0.6758972,0.6851636,0.7679530999999999,0.8097582,0.7148566,0.7983923,0.8218493,0.7844113,0.7364635,0.7887348000000001
43,cg00040861,0.02367777,0.0,0.004265032,0.0,0.0,0.0,0.0,0.004156765,0.0013566779999999998,0.0,0.0
44,cg00040873,0.4781019,0.16064900000000001,0.37543709999999997,0.2786053,0.4757679,0.3676002,0.2941058,0.23847510000000002,0.3025073,0.13234229999999997,0.202652
45,cg00041575,0.7105701999999999,0.7811068,0.7915236,0.7584403000000001,0.7951348000000001,0.7429626,0.7883545,0.7527905,0.7891845000000001,0.7054729000000001,0.7679477
46,cg00042156,0.8232560999999999,0.7084395,0.7022291,0.7790942,0.5547416999999999,0.703557,0.8243553,0.7219966,0.8190758,0.6997374,0.7045079000000001
47,cg00043004,0.1906138,0.10959089999999999,0.1640311,0.214727,0.0404168,0.11768110000000001,0.13552809999999998,0.157589,0.20105920000000002,0.04070277,0.06546856
48,cg00043080,0.8346905000000001,0.7415974,0.881448,0.8707228000000001,0.8887470999999999,0.8967729,0.8914832,0.9073815999999999,0.8893639000000001,0.8464646,0.8880599
49,cg00044245,0.01070467,0.04740687,0.02320081,0.02346035,0.01619267,0.02240613,0.01816649,0.02426734,0.02423954,0.01341021,0.01279776
50,cg00044729,0.6265144,0.5424776,0.6624133000000001,0.6364824,0.7374632,0.6868892,0.7046591999999999,0.6653644000000001,0.6961215000000001,0.5662408,0.6465904
51,cg00047050,0.028108799999999996,0.0,0.01629518,0.05507403,0.0,0.0,0.03633089,0.04193994,0.04880966,0.01762149,0.006120481999999999
52,cg00047469,0.002458976,0.0117594,0.017027200000000003,0.01674149,0.01684795,0.004590843,0.02153622,0.02743015,0.02200905,0.0278475,0.02661046
53,cg00049986,0.1882682,0.2026262,0.1447668,0.1707158,0.09677956,0.09684005,0.10765439999999998,0.0759367,0.05044183,0.159138,0.1470206
54,cg00050312,0.01805648,0.0023371579999999998,0.01755406,0.005603928,0.005680162,0.01164742,0.02824593,0.02268102,0.02924952,0.02494937,0.015299700000000001
55,cg00051623,0.6542294,0.6083816999999999,0.7609549,0.6888068,0.8622893,0.7787006,0.8422225,0.9021642,0.8734860000000001,0.7090991,0.667543
56,cg00051979,0.05944216,0.03990135,0.02829682,0.04445022,0.01112246,0.0,0.004202864000000001,0.01433984,0.01409294,0.009857346999999999,0.006931641999999999
57,cg00053292,0.0,0.002324925,0.01005324,0.0047758440000000004,0.002216,0.0,0.0,0.004744376,0.003396443,0.008163080999999999,0.0
58,cg00053647,0.18863770000000002,0.02982571,0.05478116,0.05608552,0.03821379,0.05491152,0.11008410000000002,0.1008827,0.09698158,0.0472866,0.05844256
59,cg00054706,0.0,0.02783513,0.0,0.02759549,0.0,0.0,0.0,0.003440317,0.002992066,0.0,0.0
60,cg00055233,0.37228259999999996,0.1940585,0.7632062,0.6768261,0.6886855,0.7617931,0.2414915,0.31081129999999996,0.31308109999999995,0.22280149999999999,0.2530215
61,cg00056767,0.01742902,0.02596347,0.0234095,0.04310507,0.02717287,0.02683014,0.05048916,0.041331400000000004,0.05175251,0.03080623,0.02641086
62,cg00057593,0.49297759999999996,0.6580608,0.6371836999999999,0.6958882,0.6635365,0.5842669,0.7079934,0.6560454000000001,0.6925865,0.6641103,0.6611489
63,cg00058938,0.6948801,0.4581774,0.526163,0.5799397,0.5020064000000001,0.4829389,0.5286517,0.3887947,0.5004752,0.4502893,0.4756015
64,cg00059225,0.0630198,0.05140163,0.03747373,0.04672295,0.03414585,0.03332626,0.05829056,0.07787588,0.05541565,0.08114305,0.05868043
65,cg00059424,0.0,0.0157521,0.02359371,0.01192321,0.007818418,0.01812686,0.01295908,0.0070963319999999995,0.01300885,0.01031161,0.0
66,cg00059740,0.003872338,0.008297905999999999,0.000959977,0.01170044,0.013220099999999999,0.0,0.0027674220000000003,0.007835653,0.009355499,0.01030977,0.0
67,cg00059930,0.9537733,0.91556,0.902703,0.9045755999999999,0.9542069,0.9322976000000001,0.9042184000000001,0.9184631999999999,0.9210811,0.8603656999999999,0.8844376
68,cg00060762,0.01511137,0.02931045,0.03815485,0.0,0.00042858800000000004,0.0,0.0116314,0.01078742,0.01362273,0.01390029,0.000630355
69,cg00060882,0.2721893,0.05308314,0.1346751,0.13398010000000002,0.13594260000000002,0.1285976,0.08879473,0.08978539,0.06145031,0.08762498,0.04251219
70,cg00061059,0.01118811,0.09207619,0.03307816,0.05064771,0.08384433,0.0,0.01955706,0.01442601,0.01509917,0.0,0.00277712
71,cg00061629,0.07775105,0.15990520000000003,0.08528828,0.05084055,0.3198051,0.02364292,0.0326762,0.4852891,0.05547843,0.04089719,0.006607498000000001
72,cg00062776,0.9568625,0.9311303,0.9733094000000001,0.9737484000000001,0.9481430000000001,0.9612023000000001,0.9572465,0.9676839,0.9658561999999999,0.9530656,0.9291937
73,cg00063144,0.785239,0.7290274,0.747871,0.7689488,0.8473184000000001,0.7474046,0.8293254000000001,0.8492622,0.8270924999999999,0.8072838999999999,0.8069885
74,cg00065385,0.801818,0.6091542,0.74183,0.8138597,0.8543434000000001,0.8276471,0.900393,0.9159309000000001,0.9010786,0.8737545,0.8318299000000001
75,cg00065408,0.01155546,0.01628187,0.01080868,0.01930185,0.01632494,0.007292633000000001,0.02520694,0.03398805,0.03412042,0.02717277,0.03014895
76,cg00066153,0.8178594,0.8258169,0.8347190999999999,0.8692351999999999,0.9190913,0.8855377000000001,0.8886071,0.8974257,0.8999231,0.8766906999999999,0.8904728999999999
77,cg00066816,0.3558432,0.1574603,0.2106314,0.26121479999999997,0.14159770000000002,0.21794470000000002,0.23126770000000002,0.30915440000000005,0.2520883,0.1839502,0.20079349999999999
78,cg00067471,0.4112839,0.36310180000000003,0.38379559999999996,0.46817079999999994,0.40975839999999997,0.3322609,0.32884450000000004,0.39905100000000004,0.37762670000000004,0.27344609999999997,0.3147127
79,cg00069261,0.035470499999999995,0.01720245,0.01291156,0.02236603,0.05210750000000001,0.009776733000000001,0.03061805,0.02438563,0.02473561,0.009304928,0.0
80,cg00071250,0.7267736,0.6462903,0.7615291999999999,0.7346343000000001,0.7252156999999999,0.7317927,0.706022,0.7659265000000001,0.7957454,0.6926345,0.7061166
81,cg00071998,0.22355789999999998,0.1066367,0.0582086,0.2989147,0.115264,0.08834251,0.2941781,0.25009560000000003,0.2882825,0.10544939999999998,0.1250878
82,cg00072216,0.0,0.01693686,0.0,0.003619452,0.0,0.0,0.006752214,0.005509553,0.02300805,0.007455484,0.0
83,cg00073650,0.7665348000000001,0.6862268,0.7732638000000001,0.7548571999999999,0.8048393,0.7421606,0.7157495,0.7014694,0.7472603,0.6865180000000001,0.6756595999999999
84,cg00075967,0.03147386,0.0,0.0,0.007950278,0.04355258,0.0,0.000139,0.06393804,0.0,0.0,0.0
85,cg00076645,0.0,0.003138517,0.0,0.006574853,0.0005216040000000001,0.0,0.0,0.00080686,0.003258676,0.0,0.0
86,cg00077457,0.5933799,0.44153450000000005,0.7136501999999999,0.6810301999999999,0.8170794,0.6550187,0.7097635999999999,0.7225989,0.6879390000000001,0.6210831,0.6123824000000001
87,cg00077877,0.5143745,0.47187979999999996,0.45018290000000005,0.4896514,0.5419656,0.5176310000000001,0.6923851,0.4777727,0.7291196999999999,0.6000865,0.6184118000000001
88,cg00078194,0.0,0.008070322,0.02295008,5.85e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,cg00078867,0.7165713,0.8158685999999999,0.7157308000000001,0.8330921999999998,0.8767244000000001,0.811663,0.7693051,0.7664293000000001,0.7750829,0.7059943000000001,0.7242594
90,cg00079056,0.8173630999999999,0.7719600999999999,0.7811821,0.8185979999999999,0.8747146,0.7855684000000001,0.8106985999999999,0.8101804,0.8616993000000001,0.8005698,0.7703999
91,cg00079563,0.05334875,0.0,0.0,0.03225687,0.02249643,0.0070530969999999995,0.01122625,0.004549189,0.01570913,0.0,0.002633699
92,cg00080012,0.0048701740000000006,0.0,0.0,0.01151766,0.00119028,0.0,0.0016919510000000001,0.005231604,0.002616812,0.002096714,0.0
93,cg00081935,0.0,0.07149773,0.01064128,0.0726684,0.02359017,0.02554693,0.07655001,0.04665133,0.06982569,0.0704359,0.06045393
94,cg00081975,0.006739763,0.01028053,0.01098278,0.0,0.0066782280000000005,0.006907966999999999,0.01389408,0.01650215,0.02685252,0.04028615,0.01845951
95,cg00083720,0.000304201,0.01625541,0.0,0.022959599999999997,0.001967039,0.0,0.0,0.0028538659999999996,0.000576316,0.0,0.0
96,cg00083937,0.1606003,0.1521497,0.1901922,0.2064345,0.04776542,0.2017531,0.3121939,0.29482509999999995,0.2900507,0.2047469,0.203927
97,cg00084687,0.0037061740000000004,0.0,0.01189609,0.003776636,0.00311583,0.005334288,0.007620566,0.009549019,0.005664328000000001,0.01007131,0.009151471999999999
98,cg00089071,0.01153858,0.0,0.0,0.0,0.00021403400000000002,0.0,0.0,0.0,0.000341266,0.000447376,0.0
99,cg00090147,0.04956903,0.03645648,0.03964734,0.06205202,0.03717794,0.03087759,0.05367744,0.06268335,0.06331301,0.05172007,0.03420805
100,cg00091693,0.4861585,0.6276457,0.6934785,0.6741995,0.792196,0.7071976,0.7020981,0.7768019,0.7295563,0.6255307,0.6137906
101,cg00093177,0.7429866,0.720928,0.7978202,0.8218424000000001,0.8776905999999999,0.8241516,0.7903688,0.8200707,0.8147995,0.7695516,0.7828455
102,cg00094319,0.8030965999999999,0.7735280999999999,0.8411337,0.8518726999999999,0.8259913000000001,0.8658957,0.5999416999999999,0.6631724,0.5827658,0.7276484000000001,0.7702133000000001
103,cg00094851,0.07254659,0.07139730000000001,0.06624765,0.07065032,0.06374323,0.06247330000000001,0.08815813,0.08376307,0.08335599,0.10567380000000001,0.09005892
104,cg00095526,0.42153370000000007,0.6168589,0.5644103,0.7029843000000001,0.1303613,0.6564645,0.6984045,0.4967364,0.6596755,0.6833712,0.585756
105,cg00095674,0.01447823,0.03496554,0.04534206,0.03870954,0.08085793,0.0125238,0.03244673,0.0337204,0.02194891,0.0345667,0.02566251
106,cg00096922,0.0,0.0,0.0,0.0,0.000616655,0.006205879,0.0,0.0,0.0,0.0,0.0
107,cg00097536,0.0,0.02219519,0.02251398,0.02963052,0.01221246,0.0073231680000000006,0.01333338,0.01794614,0.01258943,0.01370353,0.01782602
108,cg00098162,0.7672589,0.5844361,0.7544755999999999,0.7586813,0.7303328,0.7564091,0.7694964,0.8408774,0.8049438,0.6757704999999999,0.6963961
109,cg00098239,0.0,0.01130234,0.02133466,0.03533543,0.008264747,0.0,0.005901961999999999,0.0021168520000000002,0.001283217,0.003829505,0.003587049
110,cg00099550,0.01357261,0.004285879,0.01353476,0.01011022,0.01521695,0.0059972509999999995,0.01525027,0.01579258,0.01942515,0.01810022,0.01729208
111,cg00101227,0.8325511999999999,0.6402674,0.7695238,0.7926576,0.7982703,0.7811574,0.8179105,0.8061086999999999,0.8304368000000001,0.751286,0.7884733
112,cg00103783,0.02169118,0.1680478,0.02473743,0.03726821,0.02705928,0.0,0.0231243,0.01784963,0.02824538,0.01329235,0.007229554
113,cg00105253,0.05380004,0.06711178,0.06363164,0.06897475,0.03541755,0.05126286,0.04327792,0.04981716,0.03589231,0.05914755,0.05914361
114,cg00105470,0.03767815,0.05476322,0.02700402,0.05528837,0.01994726,0.0,0.01784806,0.020949799999999998,0.01457949,0.0271651,0.02131437
115,cg00107187,0.05192871,0.1214968,0.08231706,0.1021029,0.04833551,0.09522714,0.1495744,0.12700899999999998,0.15056860000000002,0.15772139999999998,0.09432647
116,cg00107488,0.398055,0.6738206,0.5643975999999999,0.6259069,0.3254829,0.6488754,0.6268994999999999,0.5084057,0.6929335,0.524776,0.3899925
117,cg00107632,0.013037,0.01746235,0.007358081999999999,0.01175809,0.00894959,0.007925246,0.009257478000000001,0.01448392,0.01085792,0.01339652,0.006998641
118,cg00108454,0.5249959,0.6034654,0.5795374,0.6666321,0.6612566,0.6146358000000001,0.5876561,0.5906659000000001,0.618941,0.590534,0.5652305999999999
119,cg00109274,0.007487316999999999,0.01011408,0.009433645,0.027067,0.01189737,0.015525,0.02752904,0.03848454,0.02799813,0.012027,0.02906104
120,cg00112517,0.01304185,0.02647078,0.02047513,0.01579203,0.0232156,0.02882882,0.02479988,0.03480684,0.01880193,0.03471986,0.03249066
121,cg00113020,0.7545602,0.6366168000000001,0.753564,0.8550975000000001,0.7550956,0.7979714,0.8575065000000001,0.9196280000000001,0.8971442,0.8179225999999999,0.8663603000000001
122,cg00113951,0.1254469,0.1350789,0.1579942,0.16983389999999998,0.1261042,0.1632239,0.1371207,0.13157750000000001,0.1645444,0.1251367,0.08589014
123,cg00115714,0.0,0.02909986,0.02630372,0.01972284,0.1426167,0.03141389,0.11274460000000001,0.14563210000000001,0.1313736,0.1433135,0.171869
124,cg00116234,0.0,0.1544443,0.06798492,0.07700878,0.03309190000000001,0.0,0.03880133,0.04568201,0.05543704,0.04109644,0.04492805
125,cg00116838,0.03229279,0.0,0.03278825,0.008351808,0.02359402,0.01417155,0.01929059,0.03030271,0.02319467,0.007873575,0.02150443
126,cg00117172,0.01926116,0.01981761,0.0075349169999999995,0.01018974,0.01417527,0.00287845,0.01557339,0.02602261,0.01798304,0.02515403,0.0129835
127,cg00119079,0.004830203,0.05760395,0.01563485,0.07538391,0.01321707,0.01521612,0.03869935,0.03703175,0.0463401,0.02190622,0.004289764000000001
128,cg00121158,0.007336963,0.01013771,0.0007364580000000001,0.009986242,0.01041115,0.006730036,0.01309462,0.01378803,0.01303236,0.007763467,0.008796197
129,cg00121640,0.04477451,0.04607411,0.06048655,0.06078577,0.05917065,0.05572563,0.06163067,0.07377952,0.06497016,0.09419556,0.08009034
130,cg00121904,0.45839300000000005,0.06994098,0.43352440000000003,0.5462176999999999,0.04473512,0.4928357,0.310683,0.3953083,0.2885467,0.4511593,0.45718149999999996
131,cg00123035,0.04705992,0.05844036,0.0027466009999999996,0.03772021,0.005932289,0.0,0.02134522,0.01888159,0.02514445,0.01301043,0.03811645
132,cg00126034,0.01019665,0.01815968,0.02979141,0.0,0.005526248,0.02319687,0.005449749,0.0033478,0.0016159310000000001,0.00399969,0.0012587260000000002
133,cg00126657,0.32924929999999997,0.6481728,0.6023852,0.6887608000000001,0.6880214,0.5757627,0.6125227,0.49674440000000003,0.663196,0.4983363,0.49482539999999997
134,cg00126698,0.5184441,0.7116115,0.6727858,0.8426144,0.8566803,0.7061588000000001,0.6608948,0.7198793000000001,0.5981331,0.7845960999999999,0.8490156999999999
135,cg00128197,0.1650319,0.0,0.36108290000000004,0.03499785,0.02445516,0.3404085,0.31712779999999996,0.2665451,0.3234408,0.4080946,0.3514392
136,cg00128560,0.7198884,0.6420477,0.7801145,0.7509316,0.8546103999999999,0.7786211,0.8907275,0.8859421999999999,0.8753332,0.8110565,0.7617086999999999
137,cg00128654,0.0,0.0,0.00038050800000000005,0.02294715,0.005505123000000001,0.0,0.0,0.0,0.0,0.000322543,0.0
138,cg00128766,0.0,0.1576711,0.02018582,0.20569539999999997,0.0602822,0.0,0.08687788,0.04869056,0.07943283,0.05870561,0.03239519
139,cg00128877,0.04790506,0.08249673,0.09719826,0.06031945,0.07169975,0.0677217,0.06892024,0.07008255,0.07423905,0.07545567,0.06602776
140,cg00129774,0.02197939,0.01617548,0.05331342,0.01982201,0.03867044,0.03214976,0.03718912,0.03072853,0.03250235,0.02527889,0.02139172
141,cg00131121,0.03532072,0.04845256,0.06120002,0.05127495,0.0276949,0.041235900000000006,0.03312762,0.03533275,0.02819358,0.03207432,0.03458087
142,cg00131557,0.7398716,0.6678364,0.7854156,0.7867233,0.8281662000000001,0.8649828000000002,0.9024894,0.9141402,0.9010060999999999,0.8364991,0.8898896999999999
143,cg00132141,0.4930232,0.38948119999999997,0.42205909999999996,0.5757791,0.719825,0.6741720999999999,0.7070517,0.6955948000000001,0.7408944000000001,0.5511609000000001,0.5901479000000001
144,cg00133909,0.01657814,0.04030946,0.02802307,0.03185513,0.02142598,0.004289928,0.02020421,0.02668068,0.01652646,0.04302153,0.02423713
145,cg00134539,0.8195661,0.6993594,0.7718056999999999,0.811893,0.7267342,0.8335958000000001,0.8859975,0.8883059000000001,0.9186866,0.7674425,0.7622194
146,cg00134787,0.7200951999999999,0.6095503999999999,0.7328554,0.7565008000000001,0.7725044,0.7758765000000001,0.8671154000000001,0.8809027,0.8821905999999999,0.7797755000000001,0.7793871
147,cg00135056,0.09788006,0.1561309,0.1268479,0.1323341,0.09957228,0.1295726,0.1916503,0.1683045,0.20880900000000002,0.1265928,0.11050109999999999
148,cg00135393,0.4326455,0.534048,0.3731703,0.4390872,0.3953373,0.3474016,0.5155406,0.45856369999999996,0.5935617,0.3401188,0.4596501
149,cg00136105,0.0,0.0,0.01089301,0.01593531,0.0,0.0,0.000279636,0.0063263619999999994,0.004616469000000001,0.0,0.0
150,cg00136405,0.07821229,0.46078559999999996,0.6704266,0.5822163,0.6991390000000001,0.4698785,0.7191268,0.7337168000000001,0.777512,0.5666121000000001,0.392933
151,cg00136477,0.806419,0.8162161,0.7977439000000001,0.8606659,0.7300481,0.8247865,0.8222796999999998,0.732456,0.8139696999999999,0.7477362,0.7574062
152,cg00136736,0.002734677,0.02729969,0.03529713,0.04371551,0.04987094,0.00273135,0.0,0.007144968000000001,0.004262927,0.008036034000000001,0.0
153,cg00138126,0.3765144,0.6232175999999999,0.5610991,0.6342089,0.04333503,0.5297868,0.6401946999999999,0.5890403000000001,0.6297593,0.3496611,0.2689792
154,cg00141162,0.8046715999999999,0.7172161,0.8310154000000001,0.8423401,0.8571704,0.8656040999999999,0.8160366,0.6109613,0.8333123,0.6796936,0.6160486999999999
155,cg00141550,0.5760738000000001,0.6140013000000001,0.6215579000000001,0.6757293000000001,0.791096,0.5414416999999999,0.8108248,0.6971444,0.7777130999999999,0.7275345,0.7362371999999999
156,cg00141845,0.27987740000000005,0.3448339,0.3818357,0.49353640000000004,0.589305,0.4767897,0.6342017,0.6808305,0.5902246999999999,0.520466,0.49562570000000006
157,cg00143376,0.6454361999999999,0.4332925,0.5445406999999999,0.4752249,0.6455107,0.6062266,0.5675462,0.5942038000000001,0.5412903,0.44256540000000005,0.4787878
158,cg00143998,0.0,0.1145529,0.04579075,0.01244339,0.0,0.0,0.0,0.007864715999999999,0.009311239,0.0,0.0
159,cg00145118,0.6493300999999999,0.6750451,0.6716886999999999,0.6946880999999999,0.5464119000000001,0.6649501,0.722562,0.6336599,0.7129635,0.5989109,0.6260133000000001
160,cg00145348,0.5561509,0.02199692,0.4716792,0.02512442,0.02711417,0.422806,0.3720427,0.4542201,0.4550554,0.4564982,0.43770859999999995
161,cg00146096,0.0,0.02234237,0.0,0.008295691,0.007340206,0.0,0.00035837300000000005,0.005730193000000001,0.002708297,0.0,0.0
162,cg00149659,0.0,0.0,0.0,0.000246598,0.00300076,0.0,0.0,0.0,0.0,0.0,0.0
163,cg00149976,0.009165701,0.0128459,0.01770587,0.02041021,0.01578549,0.01019252,0.02680484,0.03052228,0.02558206,0.01238722,0.01548511
164,cg00151234,0.402901,0.0,0.4410994000000001,0.02926231,0.01765912,0.4179115,0.3143218,0.3745516,0.3756793,0.43296999999999997,0.4300299
165,cg00151607,0.01769377,0.008167844,0.01570629,0.012312799999999999,0.01857852,0.002024731,0.03114481,0.01519486,0.01829364,0.012063200000000001,0.01390173
166,cg00152644,0.7614521,0.754391,0.8389049999999999,0.8215089,0.5704319,0.838448,0.9257926,0.903443,0.9253209000000001,0.8378525,0.8590745999999999
167,cg00155167,0.0,0.04390703,0.0,0.0,0.00674991,0.0,0.0,0.0035583309999999996,0.0,0.0,0.0
168,cg00155485,0.0,0.0,0.0,0.0,0.008265013,0.0,0.0,0.0,0.0,0.0,0.0
169,cg00155609,0.0,0.003407172,0.0053565259999999995,0.02309535,0.008124659000000001,0.01238819,0.01988499,0.02136186,0.02683653,0.01767094,0.01516834
170,cg00156216,0.0,0.0169203,0.0,0.007529912,0.009559352,0.000765485,0.0,0.0,0.0,0.0,0.0
171,cg00156744,0.0,0.04480461,0.01580854,0.008472341999999999,0.01048404,0.02523325,0.02114894,0.013731899999999998,0.02655353,0.02895355,0.005567849000000001
172,cg00158308,0.24937020000000001,0.06768654,0.11710639999999999,0.06599866,0.5393901999999999,0.15953270000000003,0.15652370000000002,0.14393270000000002,0.1645953,0.07563229,0.1052983
173,cg00160914,0.06049267,0.09548773,0.1526556,0.11023150000000001,0.07850529,0.1408436,0.09284297,0.05442821,0.08399919,0.07373818,0.05951241
174,cg00162401,0.03476606,0.009012788,0.01809706,0.008908646999999999,0.02902385,0.0,0.02010592,0.01911016,0.02363552,0.018174400000000004,0.0107223
175,cg00162643,0.0,0.01353157,0.0,0.0155329,0.008257165,0.008638833,0.0039931409999999995,0.00751025,0.002325356,0.00322702,0.0
